window_start,window_end,count
2025-06-10T20:30:00.000-05:00,2025-06-10T20:40:00.000-05:00,1
2025-06-10T22:10:00.000-05:00,2025-06-10T22:20:00.000-05:00,1
2025-06-10T22:40:00.000-05:00,2025-06-10T22:50:00.000-05:00,1
2025-06-11T01:00:00.000-05:00,2025-06-11T01:10:00.000-05:00,2
2025-06-11T03:20:00.000-05:00,2025-06-11T03:30:00.000-05:00,1
2025-06-11T03:30:00.000-05:00,2025-06-11T03:40:00.000-05:00,1
2025-06-11T05:10:00.000-05:00,2025-06-11T05:20:00.000-05:00,1
2025-06-11T07:50:00.000-05:00,2025-06-11T08:00:00.000-05:00,1
2025-06-11T08:50:00.000-05:00,2025-06-11T09:00:00.000-05:00,2
2025-06-11T09:10:00.000-05:00,2025-06-11T09:20:00.000-05:00,1
2025-06-11T16:00:00.000-05:00,2025-06-11T16:10:00.000-05:00,2
2025-06-11T17:00:00.000-05:00,2025-06-11T17:10:00.000-05:00,1
2025-06-12T02:10:00.000-05:00,2025-06-12T02:20:00.000-05:00,1
